cia,npoliza,nsiniestro,monto_ocu_mn,atipico,num_sin_tot,media,desv_est,z_score
H,5160,2.015E+13,42797.52,1,32320,2764.849482,5416.291893,7.391158252
H,5742,2.016E+13,34949.68,1,32320,2764.849482,5416.291893,5.942226001
H,6477,2.016E+13,50621.71,1,32320,2764.849482,5416.291893,8.835724046
H,5916,2.015E+13,34610.41,1,32320,2764.849482,5416.291893,5.879587206
H,8035,2.019E+13,20983.41,1,32320,2764.849482,5416.291893,3.363659285
H,5330,2.015E+13,25000,1,32320,2764.849482,5416.291893,4.105234902
H,4803,2.019E+13,21737.25,1,32320,2764.849482,5416.291893,3.502839377
H,5913,2.016E+13,26430.63,1,32320,2764.849482,5416.291893,4.369369485
H,3654,2.016E+13,29094.14,1,32320,2764.849482,5416.291893,4.861128432
H,7651,2.019E+13,26139.93,1,32320,2764.849482,5416.291893,4.315698079
H,6679,2.017E+13,29900,1,32320,2764.849482,5416.291893,5.00991288
H,6678,2.017E+13,37422.48,1,32320,2764.849482,5416.291893,6.398774513
H,54,2.016E+13,43500,1,32320,2764.849482,5416.291893,7.520855841
H,4664,2.017E+13,30349.56,1,32320,2764.849482,5416.291893,5.092914315
H,8174,2.019E+13,17822,1,32320,2764.849482,5416.291893,2.779973978
H,5160,2.018E+13,18288.77,1,32320,2764.849482,5416.291893,2.866152863
H,5820,2.019E+13,29900,1,32320,2764.849482,5416.291893,5.00991288
H,7347,2.018E+13,32933.16,1,32320,2764.849482,5416.291893,5.569919627
H,6136,2.016E+13,39486.83,1,32320,2764.849482,5416.291893,6.779911652
H,2741,2.015E+13,42646.13,1,32320,2764.849482,5416.291893,7.363207395
H,4812,2.015E+13,21850.4,1,32320,2764.849482,5416.291893,3.523730053
H,7725,2.019E+13,34319.09,1,32320,2764.849482,5416.291893,5.825801331
H,4803,2.016E+13,48162.83,1,32320,2764.849482,5416.291893,8.381745559
H,7368,2.019E+13,54106.6,1,32320,2764.849482,5416.291893,9.47913287
H,5791,2.016E+13,26081.01,1,32320,2764.849482,5416.291893,4.304819788
H,5407,2.017E+13,21465.53,1,32320,2764.849482,5416.291893,3.452672213
H,6554,2.016E+13,30186.24,1,32320,2764.849482,5416.291893,5.062760844
H,7263,2.017E+13,61419.4,1,32320,2764.849482,5416.291893,10.82928167
H,110,2.018E+13,43200,1,32320,2764.849482,5416.291893,7.465467393
H,6560,2.016E+13,29900,1,32320,2764.849482,5416.291893,5.00991288
H,6924,2.018E+13,28879.37,1,32320,2764.849482,5416.291893,4.821475842
H,731,2.016E+13,29214.96,1,32320,2764.849482,5416.291893,4.883435206
H,4299,2.017E+13,25000,1,32320,2764.849482,5416.291893,4.105234902
H,6587,2.019E+13,23460.93,1,32320,2764.849482,5416.291893,3.821079241
H,869,2.016E+13,16849.34,1,32320,2764.849482,5416.291893,2.600393553
H,7037,2.018E+13,34173.11,1,32320,2764.849482,5416.291893,5.798849312
H,7023,2.017E+13,34112.75,1,32320,2764.849482,5416.291893,5.787705156
H,6292,2.016E+13,24618.62,1,32320,2764.849482,5416.291893,4.034821415
H,5913,2.017E+13,33433.92,1,32320,2764.849482,5416.291893,5.662374023
H,4975,2.015E+13,18280.39,1,32320,2764.849482,5416.291893,2.864605679
H,7179,2.018E+13,22731.42,1,32320,2764.849482,5416.291893,3.686391153
H,7046,2.018E+13,30214.51,1,32320,2764.849482,5416.291893,5.067980282
H,6104,2.016E+13,26824.17,1,32320,2764.849482,5416.291893,4.44202805
H,7201,2.018E+13,45632.23,1,32320,2764.849482,5416.291893,7.91452554
H,6312,2.018E+13,52731.44,1,32320,2764.849482,5416.291893,9.225239611
H,7564,2.018E+13,25899.39,1,32320,2764.849482,5416.291893,4.271287622
H,7692,2.019E+13,32198.05,1,32320,2764.849482,5416.291893,5.434197621
H,1,2.019E+13,19884.25,1,32320,2764.849482,5416.291893,3.160723398
H,6146,2.018E+13,53151.02,1,32320,2764.849482,5416.291893,9.302705894
H,5356,2.017E+13,17237.65,1,32320,2764.849482,5416.291893,2.672086513
H,6648,2.019E+13,24170.71,1,32320,2764.849482,5416.291893,3.952124616
H,4409,2.019E+13,25838.13,1,32320,2764.849482,5416.291893,4.259977301
H,6689,2.018E+13,25659.96,1,32320,2764.849482,5416.291893,4.227082102
H,94,2.018E+13,41914.89,1,32320,2764.849482,5416.291893,7.2281999
H,4803,2.016E+13,49479.51,1,32320,2764.849482,5416.291893,8.624841763
H,8105,2.019E+13,24349.37,1,32320,2764.849482,5416.291893,3.985110283
H,5742,2.016E+13,50561.39,1,32320,2764.849482,5416.291893,8.824587275
H,4803,2.016E+13,47395.8,1,32320,2764.849482,5416.291893,8.240130222
H,7558,2.019E+13,53075.92,1,32320,2764.849482,5416.291893,9.28884032
H,54,2.015E+13,31788.38,1,32320,2764.849482,5416.291893,5.358561003
H,5742,2.015E+13,55120.75,1,32320,2764.849482,5416.291893,9.666373518
H,7094,2.018E+13,26166.33,1,32320,2764.849482,5416.291893,4.320572262
H,579,2.015E+13,26246.41,1,32320,2764.849482,5416.291893,4.335357285
H,6612,2.018E+13,28715.29,1,32320,2764.849482,5416.291893,4.791182054
H,2741,2.016E+13,20635.77,1,32320,2764.849482,5416.291893,3.299475152
H,579,2.019E+13,42171.03,1,32320,2764.849482,5416.291893,7.275490556
H,2741,2.019E+13,28611.39,1,32320,2764.849482,5416.291893,4.771999188
H,6312,2.018E+13,44071.2,1,32320,2764.849482,5416.291893,7.626315445
H,4539,2.016E+13,21551.72,1,32320,2764.849482,5416.291893,3.468585314
H,6823,2.017E+13,21501.25,1,32320,2764.849482,5416.291893,3.459267131
H,2741,2.018E+13,17362.53,1,32320,2764.849482,5416.291893,2.695142877
H,6550,2.016E+13,41432.63,1,32320,2764.849482,5416.291893,7.139161124
H,7481,2.018E+13,24405,1,32320,2764.849482,5416.291893,3.995381147
H,4823,2.017E+13,16793.49,1,32320,2764.849482,5416.291893,2.59008207
H,836,2.015E+13,57099.31,1,32320,2764.849482,5416.291893,10.03167141
H,6498,2.016E+13,45710.63,1,32320,2764.849482,5416.291893,7.929000387
H,4306,2.015E+13,19553.24,1,32320,2764.849482,5416.291893,3.099609631
H,6477,2.017E+13,91323.5,1,32320,2764.849482,5416.291893,16.3504206
H,2741,2.015E+13,21032.56,1,32320,2764.849482,5416.291893,3.372733759
H,4803,2.015E+13,36884.92,1,32320,2764.849482,5416.291893,6.2995258
H,6378,2.015E+13,23778.78,1,32320,2764.849482,5416.291893,3.879763302
H,6062,2.017E+13,16859.56,1,32320,2764.849482,5416.291893,2.602280452
H,4803,2.018E+13,36645.37,1,32320,2764.849482,5416.291893,6.255298124
H,5875,2.016E+13,25095.38,1,32320,2764.849482,5416.291893,4.122844736
H,7747,2.018E+13,39193.32,1,32320,2764.849482,5416.291893,6.725721441
H,5749,2.017E+13,29311.5,1,32320,2764.849482,5416.291893,4.901259209
H,6678,2.016E+13,31955.84,1,32320,2764.849482,5416.291893,5.389478834
H,6172,2.017E+13,19330.06,1,32320,2764.849482,5416.291893,3.058404319
H,6612,2.017E+13,27591.71,1,32320,2764.849482,5416.291893,4.583737547
H,7459,2.018E+13,42599.11,1,32320,2764.849482,5416.291893,7.354526179
H,6648,2.019E+13,24900,1,32320,2764.849482,5416.291893,4.086772086
H,4803,2.015E+13,42231.23,1,32320,2764.849482,5416.291893,7.286605172
H,1105,2.017E+13,19667.25,1,32320,2764.849482,5416.291893,3.120659088
H,7580,2.018E+13,38255.63,1,32320,2764.849482,5416.291893,6.552597463
H,2741,2.018E+13,23336.57,1,32320,2764.849482,5416.291893,3.798118884
H,7221,2.019E+13,24800,1,32320,2764.849482,5416.291893,4.06830927
H,7451,2.017E+13,51682.88,1,32320,2764.849482,5416.291893,9.031645909
H,6360,2.018E+13,39824.41,1,32320,2764.849482,5416.291893,6.842238426
H,7894,2.019E+13,21206.66,1,32320,2764.849482,5416.291893,3.404877522
H,2644,2.016E+13,29500,1,32320,2764.849482,5416.291893,4.936061617
H,4428,2.016E+13,17462.09,1,32320,2764.849482,5416.291893,2.713524457
H,7023,2.019E+13,37550.75,1,32320,2764.849482,5416.291893,6.422456767
H,6981,2.019E+13,25158.07,1,32320,2764.849482,5416.291893,4.134419075
H,7119,2.019E+13,23133.34,1,32320,2764.849482,5416.291893,3.760596903
H,4402,2.017E+13,23527.29,1,32320,2764.849482,5416.291893,3.833331166
H,3675,2.015E+13,27062.94,1,32320,2764.849482,5416.291893,4.486111716
H,3300,2.016E+13,24900,1,32320,2764.849482,5416.291893,4.086772086
H,4861,2.015E+13,23580.05,1,32320,2764.849482,5416.291893,3.843072148
H,7096,2.017E+13,24376.14,1,32320,2764.849482,5416.291893,3.990052779
H,6102,2.018E+13,20272.91,1,32320,2764.849482,5416.291893,3.232480978
H,5831,2.018E+13,22827.82,1,32320,2764.849482,5416.291893,3.704189308
H,6550,2.016E+13,38134.72,1,32320,2764.849482,5416.291893,6.530274073
H,3300,2.016E+13,22540.3,1,32320,2764.849482,5416.291893,3.65110502
H,7628,2.019E+13,19033,1,32320,2764.849482,5416.291893,3.003558678
H,7023,2.019E+13,28706.9,1,32320,2764.849482,5416.291893,4.789633024
H,6625,2.017E+13,19497.29,1,32320,2764.849482,5416.291893,3.089279686
H,4990,2.015E+13,25050.22,1,32320,2764.849482,5416.291893,4.114506928
H,5929,2.015E+13,100000,1,32320,2764.849482,5416.291893,17.95234682
H,4306,2.016E+13,23188.79,1,32320,2764.849482,5416.291893,3.770834534
