cia,año_mes_ocu,año_mes_mov,atipico,moneda,tipocambio,monto_ocu,monto_pag,monto_gto,monto_syr
H,199805,200901,0,MXP,13.8325,0,0,160000,0
H,200003,201010,0,MXP,12.5998,0,3750,0,0
H,200003,201011,0,MXP,12.3387,0,-3750,0,0
H,200306,200907,0,MXP,13.1722,2460.59,-2460.59,0,0
H,200601,200903,0,MXP,15.0698,451.4,0,0,0
H,200601,200904,0,MXP,14.1517,-451.4,0,0,0
H,200602,200903,0,MXP,15.0698,3300,0,0,0
H,200602,200904,0,MXP,14.1517,-3300,0,0,0
H,200604,200903,0,MXP,15.0698,700,-700,0,0
H,200604,200904,0,MXP,14.1517,-2880,0,0,0
H,200608,200901,0,MXP,13.8325,-5600,0,0,0
H,200608,200906,0,MXP,13.1667,-2800,0,0,0
H,200608,201010,0,MXP,12.5998,-300,300,0,0
H,200609,200902,0,MXP,14.3097,650,0,0,0
H,200609,200903,0,MXP,15.0698,9632.62,0,0,0
H,200609,200904,0,MXP,14.1517,-10282.62,0,0,0
H,200609,200908,0,MXP,13.2125,947.12,-947.12,0,0
H,200609,201006,0,MXP,12.9146,1473.28,0,0,0
H,200609,201008,0,MXP,12.6455,-1473.28,0,0,0
H,200610,200902,0,MXP,14.3097,1291.98,-4518.35,0,0
H,200610,200903,0,MXP,15.0698,8522.43,0,0,0
H,200610,200904,0,MXP,14.1517,-31537.43,0,0,0
H,200610,200908,0,MXP,13.2125,13248.77,-13248.77,0,0
H,200610,200909,0,MXP,13.314,10000,-10000,0,0
H,200610,201010,0,MXP,12.5998,0,1800,0,0
H,200610,201012,0,MXP,12.4664,-1800,0,0,0
H,200611,200901,0,MXP,13.8325,-19500,0,0,0
H,200611,200902,0,MXP,14.3097,463.44,-17794.47,0,0
H,200611,200903,0,MXP,15.0698,15535.56,0,0,0
H,200611,200904,0,MXP,14.1517,-30200.43,0,0,0
H,200611,200908,0,MXP,13.2125,3193.54,-3193.54,0,0
H,200612,200903,0,MXP,15.0698,4426,0,0,0
H,200612,200904,0,MXP,14.1517,-6280.95,0,0,0
H,200612,200906,0,MXP,13.1667,868.22,-868.22,0,0
H,200612,200908,0,MXP,13.2125,20624.05,-20624.05,0,0
H,200612,201010,0,MXP,12.5998,-2792,2792,0,0
H,200701,200901,0,MXP,13.8325,-319.27,-1974.55,0,0
H,200701,200902,0,MXP,14.3097,3745.21,-2071.13,0,0
H,200701,200903,0,MXP,15.0698,2000,0,0,0
H,200701,200904,0,MXP,14.1517,-17561.82,-783.68,0,0
H,200701,200905,0,MXP,13.8443,1650,-1900,0,0
H,200701,200908,0,MXP,13.2125,17335.13,-17335.13,0,0
H,200702,200901,0,MXP,13.8325,0,-1121.7,0,0
H,200702,200903,0,MXP,15.0698,7400,-1810,0,0
H,200702,200904,0,MXP,14.1517,-35785.13,-7550,0,0
H,200702,200906,0,MXP,13.1667,2650,-2650,0,0
H,200702,200907,0,MXP,13.1722,4125.46,0,0,0
H,200702,200908,0,MXP,13.2125,-4125.46,0,0,0
H,200703,200901,0,MXP,13.8325,-7391.26,-3102.85,0,0
H,200703,200902,0,MXP,14.3097,6085.68,-224.5,0,0
H,200703,200903,0,MXP,15.0698,1858,0,0,0
H,200703,200904,0,MXP,14.1517,-205731.28,-1115,0,0
H,200703,200905,0,MXP,13.8443,2480,-2480,0,0
H,200703,200906,0,MXP,13.1667,13096.57,-13096.57,0,0
H,200703,200908,0,MXP,13.2125,3614.76,-3614.76,0,0
H,200703,200909,0,MXP,13.314,3741.13,-3741.13,0,0
H,200703,201003,0,MXP,12.7769,300,0,0,0
H,200703,201004,0,MXP,12.3306,0,-300,0,0
H,200703,201010,0,MXP,12.5998,-8615,8615,0,0
H,200704,200901,0,MXP,13.8325,3597.81,0,0,0
H,200704,200902,0,MXP,14.3097,4253.98,-1541.85,0,0
H,200704,200903,0,MXP,15.0698,3337.75,0,0,0
H,200704,200904,0,MXP,14.1517,-32700.65,0,0,0
H,200704,200905,0,MXP,13.8443,1666.7,-1666.7,0,0
H,200704,200906,0,MXP,13.1667,179.71,-179.71,0,0
H,200704,200908,0,MXP,13.2125,7622.56,-5684.39,0,0
H,200704,200909,0,MXP,13.314,1600.22,-3538.37,0,0
H,200704,201001,0,MXP,13.0659,2784.9,0,0,0
H,200704,201003,0,MXP,12.7769,400.01,-400,0,0
H,200704,201004,0,MXP,12.3306,0,-2784.91,0,0
H,200704,201010,0,MXP,12.5998,0,500,0,0
H,200704,201012,0,MXP,12.4664,-500,0,0,0
H,200705,200901,0,MXP,13.8325,-7743.24,-3440.05,0,0
